word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
what,/wɒt/,"Used to ask about things or information.",何,What is your name?,What do you want to eat?,What is this?
what color…,/wɒt ˈkʌl.ər/,"Used to ask about the color of something.",何色,What color is your bag?,What color do you like?,What color is the sky?
what animal…,/wɒt ˈæn.ɪ.məl/,"Used to ask about a type of animal.",何の動物,What animal do you like?,What animal has a long neck?,What animal is that?
what subject…,/wɒt ˈsʌb.dʒekt/,"Used to ask about a school subject.",何の科目,What subject do you study?,What subject is your favorite?,What subject is hard for you?
what time…,/wɒt taɪm/,"Used to ask about the time of day.",何時,What time is it now?,What time do you wake up?,What time does school start?
what day…,/wɒt deɪ/,"Used to ask about the day of the week.",何曜日,What day is it today?,What day do we have art class?,What day is your birthday?
what is the date…,/wɒt ɪz ðə deɪt/,"Used to ask about the date.",日付？,What is the date today?,What is the date of the test?,What is the date of your party?
where,/weər/,"Used to ask about a place or position.",どこ,Where is my book?,Where do you live?,Where are we going?
when,/wen/,"Used to ask about time.",いつ,When is your birthday?,When do you play tennis?,When does the movie start?
who,/huː/,"Used to ask about a person.",誰,Who is that boy?,Who is your teacher?,Who wants some cake?
whose,/huːz/,"Used to ask who owns something.",誰の,Whose bag is this?,Whose book is on the desk?,Whose dog is barking?
which,/wɪtʃ/,"Used to ask about choices.",どちらの,Which color do you want?,Which is your book?,Which way should we go?
how,/haʊ/,"Used to ask about the way to do something.",どうやって,How do you cook this?,How do I write this word?,How do we open the door?
How are you?,/haʊ ɑːr juː/,"Used to ask how someone is feeling.",元気ですか？,How are you doing today?,"Hello, how are you?","How are you, my friend?"
how old…,/haʊ əʊld/,"Used to ask about age.",何歳,How old are you?,How old is your sister?,How old is this building?
how much…,/haʊ mʌtʃ/,"Used to ask about the price of something.",いくら,How much is this book?,How much does this cost?,How much water is left?
How many…,/haʊ ˈmen.i/,"Used to ask about the number of things.",いくつ,How many pens do you have?,How many dogs do they own?,How many books did you read?
How about…,/haʊ əˈbaʊt/,"Used to make a suggestion.",～はどうですか？,How about some ice cream?,How about we play soccer?,How about going to the park?
how tall…,/haʊ tɔːl/,"Used to ask about height.",どのくらいの高さ,How tall is that tree?,How tall are you?,How tall is your brother?
how long…,/haʊ lɒŋ/,"Used to ask about length or time.",どのくらいの長さ,How long is the river?,How long does the movie last?,How long is this table?
how often…,/haʊ ˈɒf.ən/,"Used to ask about frequency.",どのくらいの頻度,How often do you swim?,How often does it rain here?,How often do they visit you?
how fast…,/haʊ fɑːst/,"Used to ask about speed.",どのくらいの速さ,How fast can you run?,How fast is that train?,How fast does a cheetah run?
minute,/ˈmɪn.ɪt/,"A unit of time equal to sixty seconds.",分,Please wait one minute.,The bus will arrive in a minute.,There are sixty minutes in an hour.
hour,/aʊər/,"A unit of time equal to sixty minutes.",時間,I study English for an hour.,We will arrive in one hour.,There are twenty-four hours in a day.
day,/deɪ/,"A period of twenty-four hours.",日,Have a nice day!,It was a beautiful day.,Monday is the first day of the week.
week,/wiːk/,"A period of seven days.",週,I play tennis once a week.,School starts next week.,We are going on holiday this week.
month,/mʌnθ/,"One of the twelve periods of a year.",月,January is the first month of the year.,We are moving next month.,He will stay here for one month.
year,/jɪər/,"A period of twelve months or 365 days.",年,Happy New Year!,I was ten years old last year.,He visits his family once a year.
today,/təˈdeɪ/,"On this day or the present day.",今日,Today is a very sunny day.,I have a test today.,What are you doing today?
weekend,/ˌwiːkˈend/,"Saturday and Sunday.",週末,What did you do on the weekend?,I like to sleep late on the weekend.,We went to the beach this weekend.
morning,/ˈmɔː.nɪŋ/,"The early part of the day before noon.",朝/午前中,Good morning!,I drink milk every morning.,The morning sun is very bright.
afternoon,/ˌɑːf.təˈnuːn/,"The part of the day between noon and evening.",午後,Good afternoon!,I play soccer in the afternoon.,We had a meeting this afternoon.
evening,/ˈiːv.nɪŋ/,"The part of the day between afternoon and night.",晩,Good evening!,We watch TV in the evening.,She came home late in the evening.
night,/naɪt/,"The period of darkness when the sun is down.",夜,Good night!,The stars shine bright at night.,I sleep at night.
midnight,/ˈmɪd.naɪt/,"Twelve o'clock at night.",深夜,The party ended at midnight.,It was midnight when I woke up.,Do not watch TV past midnight.
birthday,/ˈbɜːθ.deɪ/,"The day on which a person was born.",誕生日,When is your birthday?,Happy birthday to you!,We had a big birthday cake.
Monday,/ˈmʌn.deɪ/,"The first working day of the week.",月曜日,I go to school on Monday.,Today is Monday.,Monday is a busy day.
Tuesday,/ˈtʃuːz.deɪ/,"The day of the week after Monday.",火曜日,We have gym class on Tuesday.,Is today Tuesday?,She will arrive next Tuesday.
Wednesday,/ˈwenz.deɪ/,"The day of the week after Tuesday.",水曜日,I practice piano on Wednesday.,Wednesday is in the middle of the week.,They will visit us on Wednesday.
Thursday,/ˈθɜːz.deɪ/,"The day of the week after Wednesday.",木曜日,Thursday is almost the weekend.,We watch a movie every Thursday.,Is she coming on Thursday?
Friday,/ˈfraɪ.deɪ/,"The day of the week after Thursday.",金曜日,Friday is my favorite day.,We have pizza on Friday.,He went home early on Friday.
Saturday,/ˈsæt.ə.deɪ/,"The day of the week after Friday.",土曜日,I play with my friends on Saturday.,Saturday is a holiday.,We went shopping last Saturday.
Sunday,/ˈsʌn.deɪ/,"The day of the week after Saturday.",日曜日,We go to the park on Sunday.,Sunday is a relaxing day.,I do my homework on Sunday.
January,/ˈdʒæn.ju.ə.ri/,"The first month of the year.",1月,It is very cold in January.,My birthday is in January.,January has thirty-one days.
February,/ˈfeb.ru.ə.ri/,"The second month of the year.",2月,February is the shortest month.,It snowed a lot in February.,Valentine's Day is in February.
March,/mɑːtʃ/,"The third month of the year.",3月,Spring begins in March.,We went to Tokyo in March.,School ends in March here.
April,/ˈeɪ.prəl/,"The fourth month of the year.",4月,New school years start in April.,April showers bring May flowers.,We saw beautiful cherry blossoms in April.
May,/meɪ/,"The fifth month of the year.",5月,The weather is warm in May.,May is a beautiful month.,They visited us last May.
June,/dʒuːn/,"The sixth month of the year.",6月,Summer begins in June.,We have a long holiday starting in June.,It rains a lot in June.
July,/dʒuˈlaɪ/,"The seventh month of the year.",7月,July is very hot.,We go swimming in July.,My school has no classes in July.
August,/ˈɔː.ɡəst/,"The eighth month of the year.",8月,We have summer vacation in August.,August is a hot month.,We went camping in August.
September,/sepˈtem.bər/,"The ninth month of the year.",9月,Autumn starts in September.,We go back to school in September.,The leaves start to change in September.
October,/ɒkˈtəʊ.bər/,"The tenth month of the year.",10月,Halloween is in October.,The weather becomes cool in October.,We picked apples in October.
November,/nəʊˈvem.bər/,"The eleventh month of the year.",11月,It gets cold in November.,November is the month before December.,We had a family dinner in November.
December,/dɪˈsem.bər/,"The twelfth and last month of the year.",12月,Christmas is in December.,It is very cold in December.,December is the last month.
spring,/sprɪŋ/,"The season between winter and summer.",春,Flowers bloom in spring.,I like spring because it is warm.,Spring is a beautiful season.
summer,/ˈsʌm.ər/,"The hottest season of the year.",夏,We go to the beach in summer.,Summer is very hot.,I have a long summer holiday.
automn,/ˈɔː.təm/,"The season of the year between summer and winter.",秋,The leaves turn red in automn.,Automn is a cool season.,I like eating grapes in automn.
fall,/fɔːl/,"Autumn (the season).",秋,The leaves fall from the trees.,Fall is my favorite season.,We wear warm clothes in the fall.
winter,/ˈwɪn.tər/,"The coldest season of the year.",冬,We make snowmen in winter.,Winter is very cold.,I like to drink hot chocolate in winter.
Japan,/dʒəˈpæn/,"An island country in East Asia.",日本,I live in Japan.,Japan has beautiful mountains.,Tokyo is the capital of Japan.
America,/əˈmer.ɪ.kə/,"The United States of America.",アメリカ,America is a very big country.,He wants to visit America next year.,She speaks English in America.
Canada,/ˈkæn.ə.də/,"A large country north of the US.",カナダ,Canada is famous for its cold winters.,My uncle lives in Canada.,Canada has beautiful lakes.
Australia,/ɒsˈtreɪ.li.ə/,"A country and continent in the Southern Hemisphere.",オーストラリア,Kangaroos live in Australia.,Australia has great beaches.,We want to travel to Australia.
Spain,/speɪn/,"A country in southwestern Europe.",スペイン,Spain is famous for its food.,She learned Spanish in Spain.,It is very warm in Spain.
China,/ˈtʃaɪ.nə/,"A large country in East Asia.",中国,China has a very long history.,Pandas live in China.,Have you ever visited China?
France,/frɑːns/,"A country in Western Europe.",フランス,Paris is the capital of France.,France is famous for its bread.,He traveled to France last year.
Germany,/ˈdʒɜː.mə.ni/,"A country in Central Europe.",ドイツ,Germany has many beautiful castles.,My friend lives in Germany.,He bought a car from Germany.
Brazil,/brəˈzɪl/,"A large country in South America.",ブラジル,Brazil is famous for soccer.,The Amazon river is in Brazil.,They speak Portuguese in Brazil.
country,/ˈkʌn.tri/,"An area of land that has its own government.",国,Which country do you want to visit?,Japan is a beautiful country.,There are many countries in the world.
Africa,/ˈæf.rɪ.kə/,"The second largest continent.",アフリカ,Wild animals live in Africa.,Africa is very large.,They traveled to Africa last summer.
Asia,/ˈeɪ.ʒə/,"The largest continent in the world.",アジア,Japan and China are in Asia.,Asia has many different cultures.,He has lived in Asia for five years.
Europe,/ˈjʊə.rəp/,"A continent west of Asia.",ヨーロッパ,France and Germany are in Europe.,We want to travel to Europe.,Many historical cities are in Europe.
place,/pleɪs/,"A particular area or position.",場所,This is a very quiet place.,What is your favorite place?,Let's meet at a safe place.
station,/ˈsteɪ.ʃən/,"A building where trains or buses stop.",駅,The train is at the station.,I walk to the station every morning.,Where is the nearest station?
airport,/ˈeə.pɔːt/,"A place where airplanes land and take off.",空港,We arrived at the airport early.,The airport is very big.,He took a taxi to the airport.
park,/pɑːk/,"A large public green area.",公園,I play with my dog in the park.,Let's go for a walk in the park.,The park has many beautiful flowers.
cityhall,/ˈsɪt.i hɔːl/,"The building where the local government works.",市役所,I went to the cityhall to get a map.,The cityhall is next to the library.,We can ask for help at the cityhall.
hospital,/ˈhɒs.pɪ.təl/,"A place where sick or injured people are treated.",病院,She works as a doctor in a hospital.,He is in the hospital because he is sick.,The hospital is near the station.
post office,/ˈpəʊst ˌɒf.ɪs/,"A place where you can send letters and buy stamps.",郵便局,I need to go to the post office.,Where is the nearest post office?,She works at the post office.
store,/stɔːr/,"A shop where you can buy things.",店,This store sells fresh fruit.,The store closes at eight o'clock.,Let's go to the book store.
supermarket,/ˈsuː.pəˌmɑː.kɪt/,"A large shop that sells food and drink.",スーパー,I buy vegetables at the supermarket.,The supermarket is very crowded today.,Is there a supermarket near here?
mountain,/ˈmaʊn.tɪn/,"A very high hill.",山,Mount Fuji is a beautiful mountain.,We like to climb mountains in summer.,The mountain is covered with snow.
sea,/siː/,"The large body of salty water.",海,We like to swim in the sea.,The sea is very blue today.,I can see ships on the sea.
restaurant,/ˈres.trɒnt/,"A place where you can buy and eat a meal.",レストラン,This is a very good Italian restaurant.,We had dinner at a restaurant.,The restaurant has friendly workers.
home,/həʊm/,"The place where you live.",家/故郷,I want to go home now.,Welcome to my home!,He stays at home on Sundays.
house,/haʊs/,"A building that people live in.",一軒家,They live in a big house.,Our house has a garden.,He is painting his house.
room,/ruːm/,"A part of the inside of a building.",部屋,My room is small but clean.,Please clean your room.,Is there anyone in the room?
bedroom,/ˈbed.ruːm/,"A room used for sleeping.",寝室,I have a desk in my bedroom.,The bedroom is very quiet.,She is sleeping in her bedroom.
kitchen,/ˈkɪtʃ.ən/,"A room where food is cooked.",キッチン/台所,My mother is in the kitchen.,We have a big table in the kitchen.,He is cleaning the kitchen.
bathroom,/ˈbɑːθ.ruːm/,"A room with a bath and toilet.",（トイレつきの）お風呂,Where is the bathroom?,I need to wash my hands in the bathroom.,The bathroom is very clean.
classroom,/ˈklɑːs.ruːm/,"A room in a school where students learn.",教室,There are twenty desks in the classroom.,Please go back to your classroom.,Our classroom has big windows.
gym,/dʒɪm/,"A building or room for sports and exercise.",体育館,We play basketball in the gym.,The gym is very large.,He goes to the gym every Friday.
sunny,/ˈsʌn.i/,"Bright with light from the sun.",晴れている,It is a sunny day today.,I like sunny weather.,Tomorrow will be sunny.
cloudy,/ˈklaʊ.di/,"With many clouds in the sky.",曇っている,It is cloudy today.,The sky became cloudy in the afternoon.,It is cloudy but warm.
rainy,/ˈreɪ.ni/,"Having a lot of rain.",雨が降っている,We stay home on rainy days.,The weather is rainy today.,I need an umbrella for this rainy day.
snowy,/ˈsnəʊ.i/,"Having a lot of snow.",雪が降っている,We made a snowman on a snowy day.,The mountains look beautiful and snowy.,It was a cold and snowy night.
foggy,/ˈfɒɡ.i/,"With a lot of fog; hard to see.",霧がかっている,It is very foggy this morning.,The driver went slowly on the foggy road.,It was foggy and cold.
windy,/ˈwɪn.di/,"With a lot of wind.",風が強い,It is a very windy day.,My hat blew off on this windy afternoon.,The weather is cold and windy.
sunshine,/ˈsʌn.ʃaɪn/,"Direct light from the sun.",晴天,I love warm sunshine.,Let's sit in the sunshine.,The flowers need plenty of sunshine.
thesun,/ðə sʌn/,"The star that gives light and heat to the Earth.",太陽,Thesun rises in the east.,Thesun is very bright today.,We can feel the heat from thesun.
cloud,/klaʊd/,"A white or gray shape in the sky made of water.",雲,There is a white cloud in the sky.,The cloud moved slowly.,A dark cloud means rain.
rain,/reɪn/,"Water that falls from the sky.",雨/雨が降る,The rain stopped in the afternoon.,I like the sound of rain.,It started to rain.
shower,/ˈʃaʊ.ər/,"A short period of rain.",雨/にわか雨,There was a sudden shower this morning.,We got wet in a quick shower.,The shower lasted for ten minutes.
snow,/snəʊ/,"Soft white pieces of frozen water that fall from the sky.",雪/雪が降る,Children like to play in the snow.,It began to snow last night.,The ground is covered with white snow.
fog,/fɒɡ/,"A thick cloud close to the ground.",霧,The bridge was hidden by thick fog.,The fog cleared in the afternoon.,It is dangerous to drive in heavy fog.
clearup,/klɪər ʌp/,"To become bright and sunny.",晴れる,The weather will clearup tomorrow.,I hope the sky will clearup soon.,It started to clearup in the afternoon.
boy,/bɔɪ/,"A male child.",少年/男の子,That boy is my classmate.,The boy is playing with a dog.,He is a very friendly boy.
children,/ˈtʃɪl.drən/,"More than one child.",子どもたち,The children are playing in the park.,They have three children.,Children like sweet fruits.
dancer,/ˈdɑːn.sər/,"A person who dances.",ダンサー/おどる人,She wants to be a professional dancer.,The dancer moved very beautifully.,He is a famous street dancer.
driver,/ˈdraɪ.vər/,"A person who drives a vehicle.",運転手,The bus driver was very kind.,My father is a safe driver.,She works as a taxi driver.
doctor,/ˈdɒk.tər/,"A person who helps sick people.",医者/博士,You should see a doctor.,She is a doctor at the hospital.,The doctor gave me some medicine.
friend,/frend/,"A person you know and like.",友だち,He is my best friend.,I played with my friend yesterday.,She is a friendly person.
girl,/ɡɜːl/,"A female child.",少女/女の子,The little girl is reading a book.,She is a very smart girl.,Who is that girl over there?
job,/dʒɒb/,"The work that a person does to earn money.",仕事/職,He is looking for a new job.,Her job is very interesting.,My father enjoys his job.
man,/mæn/,"An adult male person.",男性,He is a very tall man.,The man walked down the street.,Do you know that man?
officer,/ˈɒf.ɪ.sər/,"A person who has a position of authority, like a police officer.",警官/役人,The police officer helped the child.,He is a government officer.,She spoke to a custom officer.
parent,/ˈpeə.rənt/,"A father or a mother.",親,I love my parents very much.,Every parent wants their child to be happy.,His parents live in Tokyo.
brother,/ˈbrʌð.ər/,"A boy or man who has the same parents as you.",兄弟,I have an older brother.,My brother plays baseball.,Is that your brother?
sister,/ˈsɪs.tər/,"A girl or woman who has the same parents as you.",姉妹,My sister is ten years old.,She went shopping with her sister.,I have two sisters.
grandfather,/ˈɡræn.fɑː.ðər/,"The father of your father or mother.",おじいさん,My grandfather is eighty years old.,I visit my grandfather every summer.,My grandfather tells great stories.
